"","char","freq"
"724","字體",1
"725","地子",1
"726","臨死前",1
"727","出外",1
"728","單獨",1
"729","找",1
"730","同住",1
"731","從葦",1
"732","讀讀",1
"733","曾亂",1
"734","三富",1
"735","刮風",1
"736","背反",1
"737","吃力",1
"738","毫無顧慮",1
"739","賺",1
"740","求知",1
"741","新票",1
"742","這海",1
"743","最弱",1
"744","就讓",1
"745","作息",1
"746","每隔",1
"747","水晶花",1
"748","發行",1
"749","談一談",1
"750","反彈",1
"751","適逢",1
"752","慢悠悠",1
"753","正要",1
"754","蹲坐",1
"755","嚇唬人",1
"756","恐怖",1
"757","上傳",1
"758","散出",1
"759","放開",1
"760","飛泳",1
"761","靜靜地",1
"762","縫裡",1
"763","惺惺",1
"764","餿",1
"765","東倒西歪",1
"766","殺戮",1
"767","皮帶",1
"768","事是",1
"769","十二",1
"770","角席",1
"771","起舞",1
"772","我前",1
"773","圍起",1
"774","還覺",1
"775","雨勢",1
"776","學術",1
"777","本意",1
"778","推遲",1
"779","投球",1
"780","或多或少",1
"781","拍出來",1
"782","茫然若失",1
"783","到底",1
"784","退下去",1
"785","若",1
"786","桌上",1
"787","凜然",1
"788","用極",1
"789","五六分鐘",1
"790","上署",1
"791","客設",1
"792","著色",1
"793","前邊",1
"794","ti",1
"795","漏掉",1
"796","好似",1
"797","大雨",1
"798","一清早",1
"799","永",1
"800","特徵",1
"801","拉起",1
"802","我倆",1
"803","收起",1
"804","提心吊膽",1
"805","腰板",1
"806","彎下",1
"807","臨頭",1
"808","了還",1
"809","著落",1
"810","手夠",1
"811","剃刀",1
"812","下腰",1
"813","青銅色",1
"814","對峙",1
"815","堵牆",1
"816","棕色",1
"817","打消",1
"818","做點",1
"819","挪用",1
"820","還吧",1
"821","快點",1
"822","正之夜",1
"823","搶",1
"824","整整齊齊",1
"825","光彩",1
"826","副總",1
"827","靠牆",1
"828","沿牆",1
"829","祈冥而將",1
"830","滿灰塵",1
"831","門窗",1
"832","3400",1
"833","喧囂聲",1
"834","意味",1
"835","興致勃勃",1
"836","剪好",1
"837","豈",1
"838","已晚",1
"839","攜手",1
"840","一日",1
"841","堂而皇之",1
"842","台縣",1
"843","熟練",1
"844","無能",1
"845","寬廣",1
"846","報告",1
"847","海石",1
"848","指定",1
"849","幾株",1
"850","天剛",1
"851","呼聲",1
"852","糾合",1
"853","藥",1
"854","本能寺",1
"855","要拔",1
"856","三十三",1
"857","難於",1
"858","天文",1
"859","白泥",1
"860","談起",1
"861","延歷",1
"862","失",1
"863","大雲",1
"864","四年",1
"865","藥鋪",1
"866","征受",1
"867","發麻",1
"868","斑斑點點",1
"869","素質",1
"870","架著",1
"871","城內",1
"872","管火人",1
"873","分文不值",1
"874","汗臭",1
"875","謹慎",1
"876","戧",1
"877","法規",1
"878","潔癖",1
"879","山脈",1
"880","明日",1
"881","放火",1
"882","老姐",1
"883","幾百萬",1
"884","謹小慎微",1
"885","貧寒",1
"886","踱過",1
"887","鞋底",1
"888","環顧",1
"889","後浪推前浪",1
"890","胸扣",1
"891","三方",1
"892","臉劃",1
"893","泛白",1
"894","借抽",1
"895","沉默不語",1
"896","慌張",1
"897","那鹿苑",1
"898","右邊",1
"899","奇寒",1
"900","三四尺",1
"901","東邊",1
"902","正值",1
"903","我家",1
"904","著才",1
"905","龐然大物",1
"906","侵擾",1
"907","那座",1
"908","全未想",1
"909","收有",1
"910","加進",1
"911","無盡",1
"912","觀音",1
"913","縱橫",1
"914","哈得斯",1
"915","屋脊",1
"916","是非",1
"917","做畫",1
"918","己有",1
"919","位子",1
"920","蹩腳",1
"921","石女",1
"922","併吞",1
"923","框架",1
"924","究",1
"925","推測",1
"926","正法",1
"927","渺無人跡",1
"928","分身",1
"929","盡量",1
"930","中波",1
"931","稍",1
"932","走著",1
"933","鳥影",1
"934","喏",1
"935","凶兆",1
"936","嘰服",1
"937","黑嘩",1
"938","接下來",1
"939","裡做過",1
"940","事吧",1
"941","幾許",1
"942","被遺棄",1
"943","監的",1
"944","困難",1
"945","直截了當",1
"946","吹噓",1
"947","正朝著",1
"948","山東",1
"949","翩翩",1
"950","沿鹿苑",1
"951","不適",1
"952","刻",1
"953","三點",1
"954","行將",1
"955","京都大學",1
"956","機敏",1
"957","緊蹙",1
"958","香煙時",1
"959","梆子",1
"960","十八",1
"961","大街",1
"962","地湧現",1
"963","的事",1
"964","遊覽",1
"965","遺棄",1
"966","時數",1
"967","松濤",1
"968","捉迷藏",1
"969","換個",1
"970","結含",1
"971","最差",1
"972","第對名",1
"973","相當可觀",1
"974","全閱",1
"975","之身",1
"976","落霜",1
"977","各天",1
"978","和藹可親",1
"979","起至園",1
"980","髒話",1
"981","責罵",1
"982","摧債",1
"983","每到",1
"984","一躍而",1
"985","台階上",1
"986","一再",1
"987","無精打采",1
"988","慌裡",1
"989","都給",1
"990","連應",1
"991","賠罪",1
"992","改悔",1
"993","回心轉意",1
"994","收留",1
"995","完蛋",1
"996","賠過",1
"997","誠懇",1
"998","鬆",1
"999","推一",1
"1000","偷",1
"1001","來的錢",1
"1002","散亂",1
"1003","兩者",1
"1004","指甲",1
"1005","的悲",1
"1006","大半個",1
"1007","領會到",1
"1008","快到",1
"1009","狡猾",1
"1010","塔頂",1
"1011","罩衣",1
"1012","地歪著",1
"1013","殭屍",1
"1014","哀哀切切",1
"1015","簡便",1
"1016","吊",1
"1017","繡",1
"1018","可能性",1
"1019","腰",1
"1020","籠蓋",1
"1021","根倒",1
"1022","曾曠過",1
"1023","護送",1
"1024","新鮮感",1
"1025","轟隆聲",1
"1026","傳送",1
"1027","心裡惱",1
"1028","我應",1
"1029","出席",1
"1030","世阿彌",1
"1031","信紙",1
"1032","清了清",1
"1033","金邊",1
"1034","黑板",1
"1035","捉弄",1
"1036","生動活潑",1
"1037","魁偉",1
"1038","良岳時",1
"1039","姑務員",1
"1040","留意到",1
"1041","郊游",1
"1042","明石",1
"1043","法律",1
"1044","被打亂",1
"1045","金科玉律",1
"1046","改變面貌",1
"1047","東頭",1
"1048","梅林",1
"1049","關鍵",1
"1050","悲痛",1
"1051","行將崩潰",1
"1052","變動",1
"1053","談笑風生",1
"1054","欣賞",1
"1055","忽閃",1
"1056","隨著掛",1
"1057","蠻",1
"1058","候車",1
"1059","相當嚴重",1
"1060","范寺",1
"1061","牢固",1
"1062","送回",1
"1063","核實",1
"1064","佳",1
"1065","保護者",1
"1066","學生證",1
"1067","預謀",1
"1068","老闆娘",1
"1069","逗留",1
"1070","掉落",1
"1071","本書",1
"1072","輝煌燦爛",1
"1073","終結",1
"1074","素貢",1
"1075","付喪",1
"1076","大掃除",1
"1077","扔棄",1
"1078","具",1
"1079","得化",1
"1080","洗得",1
"1081","妖精",1
"1082","日久",1
"1083","龍浩寺",1
"1084","舊傢俱",1
"1085","池水",1
"1086","即讀",1
"1087","二卷",1
"1088","瞎子",1
"1089","各科",1
"1090","短篇小說",1
"1091","來變",1
"1092","贏得",1
"1093","數百年",1
"1094","給我回",1
"1095","家務",1
"1096","激放著",1
"1097","只為",1
"1098","五十年",1
"1099","五百",1
"1100","以此類推",1
"1101","推向",1
"1102","xu",1
"1103","縱情",1
"1104","而金閣",1
"1105","勢必",1
"1106","活並",1
"1107","來傳",1
"1108","諸多",1
"1109","而穿",1
"1110","古董",1
"1111","基本",1
"1112","不像",1
"1113","湧現",1
"1114","掛完",1
"1115","腰間",1
"1116","螞蟻",1
"1117","不計其數",1
"1118","過要",1
"1119","悠閒",1
"1120","熏",1
"1121","非常明顯",1
"1122","門廳",1
"1123","轉過",1
"1124","連聲",1
"1125","明之夜",1
"1126","愈",1
"1127","瞇",1
"1128","胖墩墩",1
"1129","五天",1
"1130","箱",1
"1131","白等",1
"1132","空隙",1
"1133","晾曬",1
"1134","將所見",1
"1135","小房",1
"1136","歸來",1
"1137","地戴",1
"1138","辟",1
"1139","屋內",1
"1140","腳落",1
"1141","套窗",1
"1142","尋死",1
"1143","上落",1
"1144","吞進去",1
"1145","鋪板",1
"1146","泊宿",1
"1147","招牌",1
"1148","行嗎",1
"1149","納經",1
"1150","生計",1
"1151","癢癢",1
"1152","表皮",1
"1153","黑晗",1
"1154","宜津線",1
"1155","一閃而過",1
"1156","過程",1
"1157","深思",1
"1158","狂暴",1
"1159","客房",1
"1160","保護鳥",1
"1161","背靠",1
"1162","鉛色",1
"1163","淡藍",1
"1164","前浪",1
"1165","海濤",1
"1166","海啊",1
"1167","寒風凜冽",1
"1168","河線",1
"1169","裡就",1
"1170","質",1
"1171","急劇",1
"1172","著想",1
"1173","柱",1
"1174","就此結束",1
"1175","鼻頭",1
"1176","攪拌機",1
"1177","沙堆",1
"1178","轉瞬間",1
"1179","一堆堆",1
"1180","連遭",1
"1181","海水",1
"1182","三番",1
"1183","工程",1
"1184","浴衣",1
"1185","一頎",1
"1186","沙土",1
"1187","還債",1
"1188","多石",1
"1189","旱田",1
"1190","我仁立",1
"1191","棲息地",1
"1192","大水",1
"1193","踢",1
"1194","多公裡",1
"1195","松葉",1
"1196","滔滔不絕",1
"1197","徐徐",1
"1198","事去",1
"1199","人之常情",1
"1200","爭取",1
"1201","浪費地",1
"1202","物理",1
"1203","搬到",1
"1204","待的啊",1
"1205","一程",1
"1206","田間",1
"1207","本院",1
"1208","包著",1
"1209","好幾處",1
"1210","不下雨",1
"1211","我淋著雨",1
"1212","陸軍軍官",1
"1213","河灘",1
"1214","悠悠的",1
"1215","不供",1
"1216","點明",1
"1217","這就",1
"1218","魚",1
"1219","魚吧",1
"1220","底",1
"1221","還說",1
"1222","用來",1
"1223","倍感",1
"1224","祖福寺裡",1
"1225","午睡",1
"1226","遺址",1
"1227","大夫",1
"1228","山椒",1
"1229","名勝",1
"1230","樓名",1
"1231","出險",1
"1232","湧起過",1
"1233","探",1
"1234","尖鼻",1
"1235","撥開",1
"1236","桔園",1
"1237","得金閣",1
"1238","由良川",1
"1239","地勢",1
"1240","歇歇腳",1
"1241","激光",1
"1242","演變",1
"1243","誘使",1
"1244","射出",1
"1245","走卿",1
"1246","走累",1
"1247","這新",1
"1248","黃花",1
"1249","北上",1
"1250","沿由良川",1
"1251","侵蝕",1
"1252","交叉",1
"1253","向西",1
"1254","交替",1
"1255","舞鶴市",1
"1256","齋",1
"1257","放蕩不羈",1
"1258","公裡",1
"1259","十一二",1
"1260","盜過",1
"1261","爭斗",1
"1262","雪光",1
"1263","冷清",1
"1264","前播",1
"1265","煩躁",1
"1266","怒氣",1
"1267","有海",1
"1268","投",1
"1269","動中",1
"1270","教示",1
"1271","海裡",1
"1272","活力",1
"1273","剝奪",1
"1274","和平",1
"1275","從寬",1
"1276","庭",1
"1277","港口城市",1
"1278","優良",1
"1279","標志",1
"1280","交通",1
"1281","下車",1
"1282","乘務員",1
"1283","用得",1
"1284","警戒",1
"1285","木板門",1
"1286","圖片",1
"1287","懼怕",1
"1288","清盛",1
"1289","知其名",1
"1290","集結",1
"1291","光閃閃",1
"1292","窄席",1
"1293","粗粗",1
"1294","進舞鶴",1
"1295","鬧著",1
"1296","攀",1
"1297","成了",1
"1298","童年",1
"1299","以往",1
"1300","丹波",1
"1301","霧散",1
"1302","過向",1
"1303","青銅",1
"1304","框框",1
"1305","香味",1
"1306","庸",1
"1307","厭惡感",1
"1308","不可言喻",1
"1309","批評",1
"1310","確切",1
"1311","深沉",1
"1312","現成",1
"1313","地擦",1
"1314","結論",1
"1315","治外法權",1
"1316","二十四",1
"1317","提起",1
"1318","余下",1
"1319","水電",1
"1320","憧憬",1
"1321","衰萎",1
"1322","指著",1
"1323","之常",1
"1324","傷人",1
"1325","舉例來說",1
"1326","家家",1
"1327","報閣",1
"1328","一致意見",1
"1329","風是",1
"1330","稿的呀",1
"1331","還同",1
"1332","報社",1
"1333","真糟糕",1
"1334","她講",1
"1335","黑手",1
"1336","過剩",1
"1337","白麻",1
"1338","發黃",1
"1339","幾萬",1
"1340","曲鬢",1
"1341","沉著",1
"1342","酗酒",1
"1343","載著",1
"1344","增長",1
"1345","破綻",1
"1346","細帶",1
"1347","觀音寺",1
"1348","慌慌張張",1
"1349","每晚",1
"1350","擁擠",1
"1351","直奔",1
"1352","古人",1
"1353","停",1
"1354","來愛呢",1
"1355","故人",1
"1356","不及",1
"1357","寢",1
"1358","幽靈",1
"1359","合中",1
"1360","67",1
"1361","枝葉",1
"1362","股霉",1
"1363","連山",1
"1364","如山",1
"1365","汽笛聲",1
"1366","貨運",1
"1367","情感世界",1
"1368","統一",1
"1369","先兆",1
"1370","千載難逢",1
"1371","照樣",1
"1372","木屣",1
"1373","橫放",1
"1374","毅然",1
"1375","醒目",1
"1376","強化",1
"1377","領域",1
"1378","地散",1
"1379","晨曦",1
"1380","首班",1
"1381","抵擋",1
"1382","果樹",1
"1383","16",1
"1384","此事",1
"1385","果實",1
"1386","省",1
"1387","這太",1
"1388","待發",1
"1389","車窗",1
"1390","凶",1
"1391","項目",1
"1392","嚴閉",1
"1393","下段",1
"1394","往下",1
"1395","銅",1
"1396","令人擔心",1
"1397","翻翻",1
"1398","轟炸",1
"1399","萬事",1
"1400","潛入",1
"1401","國",1
"1402","主命",1
"1403","神所滅",1
"1404","這為",1
"1405","薄紙",1
"1406","紙頁",1
"1407","手來",1
"1408","美境",1
"1409","皸裂",1
"1410","前所未聞",1
"1411","活現",1
"1412","濡濕",1
"1413","將由",1
"1414","李",1
"1415","零零散散",1
"1416","十四號",1
"1417","順道",1
"1418","十元",1
"1419","按規定",1
"1420","圍裙",1
"1421","六點",1
"1422","活計",1
"1423","名貴",1
"1424","救下來",1
"1425","釋簽",1
"1426","簽上",1
"1427","木盆",1
"1428","頂尖",1
"1429","房客",1
"1430","上取",1
"1431","棚架",1
"1432","禮拜",1
"1433","織田信長",1
"1434","一所",1
"1435","說不出來",1
"1436","信忠為",1
"1437","交到",1
"1438","沉痛",1
"1439","研究所",1
"1440","木壁色",1
"1441","伏",1
"1442","水槽",1
"1443","石派",1
"1444","神殿",1
"1445","花格子",1
"1446","呿",1
"1447","義照",1
"1448","掃到",1
"1449","前下",1
"1450","誠心誠意",1
"1451","劇烈地",1
"1452","指印",1
"1453","借條",1
"1454","紙上",1
"1455","正經八百",1
"1456","發瘋",1
"1457","高利貸",1
"1458","時止",1
"1459","與世無爭",1
"1460","總共",1
"1461","冊元",1
"1462","親人",1
"1463","所得",1
"1464","歸",1
"1465","托木來",1
"1466","零用費",1
"1467","物歸原主",1
"1468","其是",1
"1469","冷",1
"1470","咋",1
"1471","滯後",1
"1472","55",1
"1473","費了",1
"1474","走走",1
"1475","春起",1
"1476","衷腸",1
"1477","千層",1
"1478","話音未落",1
"1479","商量",1
"1480","不惜",1
"1481","文件",1
"1482","借給",1
